,date,stop_id,am_rush,pm_rush,full_day
336,2018-01-06,place-forhl,1206,1143,4159
337,2018-01-06,place-gover,144,694,1643
338,2018-01-06,place-grnst,222,244,796
339,2018-01-06,place-haecl,1174,1636,5236
340,2018-01-06,place-harsq,910,2853,6892
341,2018-01-06,place-hymnl,334,1575,3559
342,2018-01-06,place-jaksn,601,518,1880
343,2018-01-06,place-jfk,449,434,1568
344,2018-01-06,place-kencl,478,1181,3008
345,2018-01-06,place-knncl,210,1018,2336
346,2018-01-06,place-lech,334,1023,2232
347,2018-01-06,place-masta,308,713,1942
348,2018-01-06,place-mlmnl,1368,851,3620
349,2018-01-06,place-mvbcl,1585,1211,4601
350,2018-01-06,place-north,511,1002,5336
351,2018-01-06,place-nqncy,532,288,1379
352,2018-01-06,place-ogmnl,487,578,1603
353,2018-01-06,place-orhte,243,251,840
354,2018-01-06,place-pktrm,542,2067,4877
355,2018-01-06,place-portr,480,937,2658
356,2018-01-06,place-prmnl,142,1145,1931
357,2018-01-06,place-qamnl,194,171,602
358,2018-01-06,place-qnctr,751,562,2121
359,2018-01-06,place-rbmnl,543,279,1385
360,2018-01-06,place-rcmnl,215,377,1042
361,2018-01-06,place-river,84,131,372
362,2018-01-06,place-rugg,574,752,2376
363,2018-01-06,place-sbmnl,266,385,1044
364,2018-01-06,place-sdmnl,43,61,155
365,2018-01-06,place-shmnl,246,199,742
366,2018-01-06,place-smmnl,253,193,748
367,2018-01-06,place-sstat,788,1722,4950
368,2018-01-06,place-state,311,1290,3030
369,2018-01-06,place-sull,979,945,3124
370,2018-01-06,place-symcl,144,341,974
371,2018-01-06,place-tumnl,323,720,1812
372,2018-01-06,place-welln,553,645,1908
373,2018-01-06,place-wimnl,196,75,396
374,2018-01-06,place-wlsta,450,206,1024
375,2018-01-06,place-wondl,792,445,2112
376,2018-01-06,place-wtcst,22,77,184
377,2018-01-07,place-alfcl,454,808,2321
378,2018-01-07,place-andrw,492,511,1771
379,2018-01-07,place-aport,903,1047,3623
380,2018-01-07,place-aqucl,74,631,1460
381,2018-01-07,place-armnl,197,897,1970
382,2018-01-07,place-asmnl,685,528,2200
383,2018-01-07,place-astao,85,603,1079
384,2018-01-07,place-bbsta,326,2075,4211
385,2018-01-07,place-bmmnl,336,239,975
386,2018-01-07,place-bomnl,41,142,386
387,2018-01-07,place-boyls,244,1077,2458
388,2018-01-07,place-brdwy,284,511,1523
389,2018-01-07,place-brntn,190,217,690
390,2018-01-07,place-ccmnl,136,208,600
391,2018-01-07,place-chncl,212,1096,2530
392,2018-01-07,place-cntsq,658,1805,4719
393,2018-01-07,place-coecl,376,2679,5256
394,2018-01-07,place-crtst,36,171,411
395,2018-01-07,place-davis,626,1044,3133
396,2018-01-07,place-dwnxg,519,3421,6650
397,2018-01-07,place-fldcr,466,257,1179
398,2018-01-07,place-forhl,907,857,3227
399,2018-01-07,place-gover,122,670,1488
400,2018-01-07,place-grnst,172,179,629
401,2018-01-07,place-haecl,864,1275,3885
402,2018-01-07,place-harsq,698,2435,5805
403,2018-01-07,place-hymnl,250,1653,3347
404,2018-01-07,place-jaksn,358,523,1568
405,2018-01-07,place-jfk,352,506,1362
406,2018-01-07,place-kencl,406,967,2438
407,2018-01-07,place-knncl,237,1064,2430
408,2018-01-07,place-lech,192,979,1888
409,2018-01-07,place-masta,301,771,1851
410,2018-01-07,place-mlmnl,1110,698,3006
411,2018-01-07,place-mvbcl,1273,971,3646
412,2018-01-07,place-north,395,1040,4956
413,2018-01-07,place-nqncy,432,303,1420
414,2018-01-07,place-ogmnl,362,417,1303
415,2018-01-07,place-orhte,355,268,1054
416,2018-01-07,place-pktrm,407,1961,4375
417,2018-01-07,place-portr,420,953,2625
418,2018-01-07,place-prmnl,144,1200,2220
419,2018-01-07,place-qamnl,150,254,600
420,2018-01-07,place-qnctr,615,481,1715
421,2018-01-07,place-rbmnl,414,160,947
422,2018-01-07,place-rcmnl,183,311,868
423,2018-01-07,place-river,35,147,320
424,2018-01-07,place-rugg,505,812,2256
425,2018-01-07,place-sbmnl,208,295,905
426,2018-01-07,place-sdmnl,30,48,119
427,2018-01-07,place-shmnl,177,175,594
428,2018-01-07,place-smmnl,202,143,593
429,2018-01-07,place-spmnl,6,27,60
430,2018-01-07,place-sstat,602,1944,4904
431,2018-01-07,place-state,249,1214,2568
432,2018-01-07,place-sull,763,646,2380
433,2018-01-07,place-symcl,96,480,921
434,2018-01-07,place-tumnl,233,568,1474
435,2018-01-07,place-welln,360,513,1475
436,2018-01-07,place-wimnl,52,239,453
437,2018-01-07,place-wlsta,411,187,885
438,2018-01-07,place-wondl,582,420,1718
439,2018-01-07,place-wtcst,26,55,162
440,2018-01-08,place-alfcl,7077,2457,11108
441,2018-01-08,place-andrw,2541,1748,5785
442,2018-01-08,place-aport,2245,1598,6020
443,2018-01-08,place-aqucl,250,2325,3763
444,2018-01-08,place-armnl,665,4411,6584
445,2018-01-08,place-asmnl,4707,1340,8234
446,2018-01-08,place-astao,689,1479,2809
447,2018-01-08,place-bbsta,3753,8222,15286
448,2018-01-08,place-bmmnl,1653,401,2799
449,2018-01-08,place-bomnl,146,1280,1942
450,2018-01-08,place-boyls,614,2284,4381
451,2018-01-08,place-brdwy,2436,2416,6069
452,2018-01-08,place-brntn,2643,436,4059
453,2018-01-08,place-ccmnl,942,1162,2998
454,2018-01-08,place-chncl,703,2900,5722
455,2018-01-08,place-cntsq,5055,5666,13919
456,2018-01-08,place-coecl,2170,6078,11717
457,2018-01-08,place-crtst,219,1347,2031
458,2018-01-08,place-davis,7654,1565,11004
459,2018-01-08,place-dwnxg,2109,11774,19394
460,2018-01-08,place-fldcr,2039,791,3915
